label,text
1,JERUSALEM  Aug 18 (Reuters) - Israel’s Aviation Links said on Tuesday it would start selling vacation packages to Rixos hotels in the United Arab Emirates  the latest deal in the wake of the countries agreeing to normalise relations.
1,Dogger Bank Wind Farm Project Director Steve Wilson said: “This tier one contract with the Sif Group and Smulders is the final one to be confirmed by Dogger Bank Wind Farm for the first two phases  and marks a significant milestone for the project.
1,Playwire Media  the largest representation firm for reaching gaming and entertainment enthusiasts online  today announced a new partnership with OrangeGames  a leading developer and publisher of gaming content.
1,With the addition of OrangeGames to an already impressive roster of publishing partners in the Australian region  this partnership increases Playwire’s reach in this market by nearly fifty percent.
1,ESCToday would like to thank RTVE  Blas Cantó and the Spanish delegation for the interview and their collboration.
1,“We are very proud to partner with MAASTRO Clinic to open the ZON-PTC  and we look forward to many years of collaboration and research.”
1,Today  Ohpen  the digital banking company  announces it has partnered with global technology services firm  Aspire Systems  to allow its clients to benefit from Aspire’s implementation services.
1,Pulsar Health is joining imc group with the full support of pan-European investor Waterland Private Equity.
1,Dominic Graham  Investment Director at Waterland Private Equity  says: “We are delighted to announce this partnership with Sideshow Group.
1,Kiwa  an international leader in Testing  Inspection and Certification (TIC) has signed a partnership agreement with PVEL  the leading independent test lab for the global downstream solar and energy storage industry.
1,Kiwa and Alliander open Dutch hydrogen demo house
1,With most fitters and installers having little experience with converting gas networks for hydrogen use  Alliander and Kiwa have joined forces to help train new professionals.
1,Amsterdam-based Adyen simultaneously announced it’s expanding its partnership with foodora Canada  so Canadians may use Interac Debit to pay for food delivery via digital wallets including Apple Pay and Google Pay.
1,EVBox Group  based in Libertyville  Ill.  works with Ipsos annually to assess EV adoption in Europe.
1,Daimler’s commercial vehicle division has also entered into its own collaborations with Engie  EVBox  Siemens Smart Infrastructure for EV infrastructure and Shell for fuel cell truck infrastructure.
1,For the charging infrastructure of battery-electric trucks  the German truck-maker plans to work with Engie  EVBox and Siemens Smart Infrastructure.
1,"""Conexus Indiana is a vital partner in our work to grow Indiana's largest industry sector and provide Hoosiers with rewarding career opportunities."
1,NEW YORK  May 21  2021 /PRNewswire/ -- Kontakt.io  the global leader in Bluetooth™ powered IoT services collaborated with PostNL - the number one e-commerce and postal logistics provider in the Netherlands  to help them digitize their internal roll-cage supply chain.
1,announce that they have reached an agreement for Yokogawa to take a €6 million stake in Sensire and to begin collaborating in the cold chain monitoring field.
1,JP Asikainen  founder and CEO of Sensire  added  “I believe that this collaboration with Yokogawa will provide us an opportunity to expand the business globally and ensure the transition to the next-generation of cloud architecture.
1,Through this initiative  both companies aim to develop and provide new services that combine Yokogawa’s IIoT architecture  subscription-based IIoT services and Sensire’s cold chain temperature monitoring solutions.
1,Trax and Roamler are collaborating to help Unilever improve on-shelf availability in hundreds of stores across Belgium and Italy.
1,Trax analytics and insights derived from shelf images captured by Roamler’s workforce allow Unilever to detect anomalies in store  take action  and measure results.
1,Trax and Roamler’s fully integrated store auditing service is currently available to CPG companies in Belgium  France  Germany  Italy  Netherlands  Spain  and the UK.
1,In addition  with Roamler  FMCGs can monitor how their products are marketed to consumers in each of their outlets.
1,Whereas Endeit Capital has been an investor since 2016  Roamler is bringing two committed investors on board with SmartFin and Achmea.
1,I’m very excited to work alongside SmartFin  Achmea and the Roamler team to make this happen.”
1,With Roamler as a partner  we have the capacity to expand in the various domains in which we are already active at Achmea.
1,Unilever is joining efforts with Trax  a retail technology and analytics provider  and Roamler  a European technology company specialising in crowd-supported solutions for field marketing  to improve its on-shelf availability (OSA).
1,Now the Indian unicorn plans to utilise Etergo’s App Scooter design and engineering capabilities to build a smart electric two-wheeler.
1,Etergo used Seedrs  a platform that allows European retail investors to buy shares in private companies.
1,Jscrambler is trusted by the Fortune 500 and major companies in sectors such as finance  broadcasting  software development  e-commerce  and gaming.
1,Truecaller hopes with this partnership  it will be able to provide some relief to those who are trying to find COVID-19 help-related contacts.
1,Meanwhile  the collaboration of Truecaller with FactChecker will ensure COVID-19 relief numbers are constantly verified by a fact-checking team.
1,Ameyo is the 1st customer engagement platform to partner and provide this premier offering to enterprises New Delhi: Ameyo  an omnichannel customer engagement platform  today announced its partnership with Truecaller to resell their recently launched enterprise solutions for businesses.
1,Integrating Truecaller’s verified brand identity solutions with Ameyo’s outbound dialer will help improve outbound call connect rates as consumers know exactly which calls to trust while avoiding fraudulent and scam calls increased during the pandemic.
1,Leading Dutch subscription app Dyme has partnered with Tink for open banking technology  to take its money saving service across Europe.
1,The partnership will see Dyme use Tink’s account aggregation technology in the UK and Germany  to connect people’s bank accounts within the app.
1,Coca-Cola has partnered with Shippeo to implement real-time visibility across its road transport network to improve efficiencies.
1,The real-time visibility of Coca-Cola HBC’s transportation network provided by Shippeo will allow the company to further improve both internal and external logistics efficiency  by improving collaboration with its carriers.
1,Since January  Shippeo has welcomed several large international brands  including Europe’s largest retailer for pet supplies Fressnapf  European leader in industrial engineering and personal protective equipment Rubix  the largest company specializing in the production of fruit juices in Europe Eckes Granini  and Thyssenkrupp Materials France.
1,Tesla and Fastned  a Dutch charging network  are creating what they call an ‘Energy Superhub ’ a large dual-branded charging station in Oxford.
1,Fastned express freight company is building one of the largest express charging stations in Europe with car manufacturer Tesla.
1,In addition  Translations.com was recently an Elite sponsor of Akeneo Unlock 2021  the annual gathering of the Akeneo PIM and PXM community.
1,Jamendo Partners With Musiio for AI Catalog Tagging and More
1,Jamendo and Musiio are partnering to bring its AI catalog tagging tech to Jamendo’s platform.
1,This Musiio x Jamendo deal follows a pair-up Musiio established last year with Audio Network.
1,Jamendo Licensing Announces a Contest In Partnership With Filmora (Wondershare)
1,We are confident that partnering with Protolabs will help us advance that mission ” said Bram de Zwart  Co-Founder and Chief Executive Officer at 3D Hubs.
1,Marand Precision Engineering has partnered with Rheinmetall Defence Australia to deliver the Lynx KF41 Infantry Fighting Vehicle in Australia should it be selected for the $18.1-$27.1 billion Land 400 Phase 3 program.
1,“We look forward to our strategic partnership with Rheinmetall and Team Lynx ” Marand CEO Rohan Stocker said.
1,Marand joins a number of companies announced on Team Lynx in recent weeks  including TacMed  DEFCON Technologies  Rockpress  Queensland Gaskets.
1,Synerise’s new partner in India  Hagen Impex  is accelerating digital transformations by optimizing customer journeys and creating the best customer experiences with the use of advanced technologies like Artificial Intelligence  Machine Learning  Big Data and marketing automation.
1,We at Hagen are delighted to partner with Synerise and join in the rapidly growing AI & Blockchain industry in India ” said DilipBedi  Country Partner and MD  Hagen Impex.
1,The Traffic Meter tool was developed by the retailer in collaboration with Polish technology companies Synerise and K2 Precise.
1,Camera vendor Huddly has signed a global distribution agreement with Midwich Group  launching its unified communications and collaboration (UCC) offering in the Asia Pacific (APAC) region as a result.
1,Under the terms of the deal  the audiovisual (AV) technology distributor’s channel partners gain immediate access to Huddly’s full range of solutions.
1,Mersive Technologies has expanded its alliance partnership programme to include Huddly to provide intelligent new collaboration solutions for meeting and learning spaces that support on-site and remote participants.
1,Accel has investments in companies in the space  including Webflow  Zenaton  and Airkit.
1,Philippe led Accel’s investments in DocuSign (IPO)  PeopleDoc  Qubit  Algolia  BlaBlaCar  Doctolib and Zenaton.
1,Sébastien Bossard  CEO of Kersia  said  “After a worldwide survey regarding AI for AgTech  we identified Connecterra as a promising digital partner.
0,— Tijl Vuyk  Redwood Software CEO and Founder
0,ETIRA  the European Toner and Inkjet Remanufacturers Association  has welcomed new criteria introduced by the EU to reduce the environmental footprint of printers and cartridges purchased through public tenders.
0,PRESS RELEASE FROM NEDAP GANNI powers omnichannel fulfillment with Nedap Posted May 18  2021
0,Demolition began Tuesday on the Selmers building in downtown Aberdeen  after the adjacent Pourhouse structure was taken down Monday.
0,Truecaller: How to delete/ deactivate your account in Truecaller
0,If you’d like to check out some of what JScrambler offers  check out www.jscrambler.com to sign up for a free trial!
0,Fastned CEO Michel Langsall says that “hundreds of these sites” are still in demand in the UK and that the company wants to enter and remain in talks with landowners and partners.
0,This move gives Ohpen the freedom to innovate with clients  whilst continuing to provide high-quality implementation services.
0,The experts at Helpling also recommend changing your bedding at least twice a week.
0,PSV vs VFB: Dream11 fantasy tips and prediction.
0,And this is exactly what Amsterdam-based Fastned provides – a fast-charging network for electric vehicles.
0,It was particularly bad timing for Blacklane  considering that in the lead up to the pandemic  it looked to be on course to turn a profit on its focused model.
0,Shippeo makes the forecasts based on its real-time visibility platform  which calculates the estimated time of arrival of a delivery from over 200 data sources - up to 24 hours in advance and with an accuracy of up to 95 percent.
0,This launch aligns perfectly with Jamendo's momentum.
0,Car Rentals  which is located in the Delta hotel in downtown Charlottetown.
0,Christiaan Rijnhout of Roamler is very enthusiastic about the response to the Berry Monitor.
0,Of course  it’s Nick Bolton  who made an appearance on the Kansas City radio airwaves Wednesday afternoon.
0,Pat Charlton  CEO of Alltech Coppens  told this publication before that the program was open to any type of entrant.
0,up to 14 Fastned chargers (10 initially)  rated at up to 300 kW
