label,text
1,Ohpen  a Netherlands-based company that has built cloud-based core banking software  has raised €15 million in Series B funding  which I understand gives it a valuation of €100 million.
1,Dutch firm Waterland Private Equity Investments has raised €2.5 billion for its eighth flagship fund  three months after its launch.
1,ParkBee  a Netherlands-founded startup that lets private car parks monetize underutilized spaces by making them bookable to the public  has picked up €5 million in new funding
1,ParkBee  a tech startup with smart technology to open up private car parks to the public  has announced it closed €5 million in funding to scale its business in the UK.
1,Redwood Software  a provider of cloud-based business and IT process automation solutions  today announced a €315 million (~$379.97 million) strategic investment from growth equity firm Turn River Capital.
1,Redwood Software — a leading provider of cloud-based business and IT process automation solutions — announced recently that it raised a €315 million strategic investment.
1,Redwood Software — a leading provider of cloud-based business and IT process automation solutions — announced recently that it raised a €315 million strategic investment from growth equity firm Turn/River Capital.
1,Turn/River Capital announced its €315 million investment in Redwood Software  a cloud-based process automation provider.
1,International law firm CMS has advised growth equity firm Turn/River Capital on its €315 million strategic investment in Redwood Software  a leading provider of cloud-based business and IT process automation solutions.
1,The consolidated balance of cash and investments at March 31  2021 was $4.9 billion  including cash and investment balances at Essent Group Ltd. of $540.3 million.
1,Pulsar Health is joining imc group with the full support of pan-European investor Waterland Private Equity.
1,Last year  Roamler raised an investment of 20 million euros from Endeit Capital  SmartFin and Achmea Innovation Fund.
1,Roamler  an Amsterdam-based on-demand workforce platform  has raised €20 million from Endeit Capital  SmartFin and Achmea Innovation Fund.
1,Roamler has raised an investment of 20 million euros from Endeit Capital  Smartfin and Achmea Innovation Fund.
1,The investment of 20 million euro will enable Roamler  already active in ten European countries within retail  to internationally expand its on-demand professional installations  service and repair activities  starting with the UK and Germany.
1,Whereas Endeit Capital has been an investor since 2016  Roamler is bringing two committed investors on board with SmartFin and Achmea.
1,Etergo BV diluted around 10% equity stake in September 2017 and set up a STAK with targeted funding of €1.5 Mn ($1.7Mn)  which was also its first publicly raised money.
1,Alexandre Santos  Sonae IM’s Head of Venturing  stated that: “The participation in this round represents Sonae IM’s largest investment in an early stage project  showing our confidence in Jscrambler’s product and team”.
1,In a recent development  Dutch start-up Dyme raises €600 000 in seed funding led by venture capital firm Peak Capital.
1,Last year  Dyme received a pre-seed investment from student investment fund ASIF and former ING CEO Hans van der Noordaa.
1,For the uninitiated  Amsterdam-based Dyme lets users connect their bank accounts and provides a clear overview of their finances.
1,PARIS--(BUSINESS WIRE)--Shippeo  the European leader in real-time transportation visibility (RTTV)  today announces a $32 million investment.
1,Shippeo will use the investment to strengthen its market-leading position and continue delivering on product innovation.
1,Shippeo  which had previously raised $39 million since its founding in 2014  secured the new  $32 million investment from Battery Ventures and existing investors Partech  NGP Capital  ETF Partners  Bpifrance Digital Venture to strengthen its market-leading position in Europe and continue delivering on product innovation.
1,Paris-based Shippeo  a SaaS platform that provides real-time transportation visibility  has raised $32M (approx €26.3M) in a fresh round of funding.
1,Shippeo secures $32 million investment from Battery Ventures and existing investors to strengthen its position in delivering real-time transportation solutions.
1,Tesla and Fastned are building another large charging station together.
1,Fastned already operates 135 charging stations across the Netherlands  Germany  Belgium  Switzerland and the UK  and has recently raised €150 million to turbo-charge the expansion of its network  with a goal of building 1 000 fast charging stations across Europe by 2025.
1,Blacklane — the Berlin startup that provides on-demand black-car chauffeur services in Berlin  London  Dubai  Los Angeles  New York  Paris  Singapore and 16 other cities — has closed a round of €22 million ($26 million at current rates).
1,After taking a majority stake in Havn  the Jaguar-hatched electric car service in London  in February  Blacklane said that it will be using this latest round of funding to continue expanding sustainable travel initiatives  and to continue expanding its existing business with more flexible options for riding.
1,The investment was completed in November and permits Blacklane to grow Havn’s service and offer more zero-emission rides in London  the companies said in a joint statement on Tuesday.
1,Founded in 2011 by Greg Blazewicz and Konrad Pawlus  Salesmanago has raised $6m in funding to date from 3TS Capital Partners.
1,A complex marketing automation platform SalesManago founded in 2011 has raised $6 million and is now present in over 40 markets.
1,Spanish online real estate agency Housfy.com has closed a €3 million ($3.4 million U.S.) funding round.
1,The entry to Portugal comes two months after Housfy closed a round of Series A financing worth €6 million in May 2019  co-led by DN Capital  Torch Capital  Seaya Ventures and Cathay Capital.
1,Housfy has so far raised €3.7 million.
1,Swiss startup Xeltis has announced the close of a €10.5 million Series D financing round to support its vascular and valve trial programmes.
1,Xeltis previously raised an oversubscribed Series C round of €45 million in 2017.
1,Xeltis  which is working on polymer-based heart valve replacement  scored €45 million ($52 million) in an oversubscribed series C round.
1,Previously  Xeltis bagged $34 million in an oversubscribed series B round in 2014.
1,The Amsterdam-based B2B SaaS firm SwipeGuide has raised €5 million in a round led by Speedinvest and supported by CapitalT  and Plug & Play Ventures  as well as existing investors Newion and Brumbucks.
1,The new funding follows an earlier $1.5 million seed round and brings total raised by DigiExam to $5 million.
1,DigiExam Raises $3.5 Million: DigiExam  a provider of digital tools to create and grade academic tests  today announced it raised $3.5 million in a Series A funding round led by a syndicate of tech entrepreneurs and investors from Europe and Asia including Joen Bonnier  of the Bonnier family  owner of the largest media group in Sweden.
1,DigiExam was originally backed with seed funding from twp Spotify executives: Gustav Söderström  the chief product officer and Sophia Bendz  former chief marketing officer  and from Sven Hagströmer  an early investor and previous chairman of Unicorn Klarna.
1,All have made follow-on investments in DigiExam’s Series A financing.
1,Helpling  the Rocket Internet-founded company that lets you book a range of home services online  is disclosing €10 million in new funding.
1,According to sources  however  the new funding gives Helpling a significantly lower valuation than it attained during its previously disclosed $45 million (~€42m) Series B in March 2015.
1,Stockholm-based digital healthcare provider Kry  called Livi in the UK and France  raised €262 million in a Series D round in May  highlighting how investor interest in healthtech is not abating  even as coronavirus lockdowns lift and people can go back to their doctors.
